"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Benzonatate","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Benzoyl Peroxide; Clindamycin Phosphate","Gel","","","Develop a method to characterize in vitro release","","","05/18/2023"
"Benzphetamine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Bepridil HCl","Tablet","I (Basket)","100","0.1 N HCl","900","10, 20, 30, 45 and 60","01/16/2004"
"Berotralstat HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","02/09/2023"
"Betamethasone Acetate/Betamethasone Sodium Phosphate","Injectable Suspension","IV (Flow through cell)","Flow @ 8 mL/min","0.05% SLS, pH 3.0 or Develop an in vitro release method using USP IV (Flow-Through Cell), and, if applicable, Apparatus II (Paddle) or any other appropriate method, for comparative evaluation by the Agency","","5, 10, 15, 30, 45, 60, 90, 120, 180, 240, 300, and 360","04/08/2010"
"Bethanechol Chloride","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Bethanechol Chloride","Tablet","","","Refer to USP","","","10/06/2008"
"Betrixaban","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Bexagliflozin","Tablet","I (Basket)","50","0.1 N HCl","900","1, 3, 5, 8 and 10 hours","05/31/2024"
"Bexarotene","Capsule","II (Paddle)","50","Tier 1 Medium: 0.5% HDTMA in 0.05 M phosphate buffer, pH 7.5                      Tier 2 Medium: 0.5% HDTMA in 0.05 M phosphate buffer, pH 7.5 with 0.05 g/L pancreatin enzyme","900","15, 30, 45 and 60","08/17/2006"
"Bicalutamide","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Bictegravir Sodium; Emtricitabine; Tenofovir Alafenamide Fumarate","Tablet","II (Paddle)","75","50 mM Citrate buffer, pH 5.5","900","5, 10, 15, 20, 30, 45 and 60","11/01/2024"
"Bimatoprost","Implant","","","Develop a method to characterize in vitro release","","","07/07/2023"
"Bisacodyl/Polyethylene glycol 3350/ Potassium Chloride/Sodium Bicarbonate/ Sodium Chloride","Tablet (Delayed Release), For Solution,","II (Paddle)","100","Acid stage: 0.1 N HCl: Buffer stage: 0.05 M Phosphate buffer, pH 6.8, with 0.15% sodium lauryl sulfate (SLS) [only for Bisacodyl Tablets]","Acid stage: 900 mL; Buffer stage: 900 mL","Acid stage:  60; Buffer stage: 10, 20, 30, 45 and 60","03/02/2017"
"Bismuth Subcitrate Potassium/Metronidazole/Tetracycline HCl","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Bismuth Subsalicylate (BiSub)/Metronidazole (Met)/Tetracycline HCl (Tet)","BiSub: Tablet (Chewable) /Met:Tablet /Tet: Capsule","II (Paddle)","50","BiSub:  0.1 N HCl /Met: Refer to USP /Tet: Refer to FDA's Dissolution Guidance, 2018","900","5, 10, 15, 20 and 30 ","07/07/2022"
"Bisoprolol Fumarate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Bisoprolol Fumarate/Hydrochlorothiazide","Tablet","II (Paddle)","75","0.1 N HCl","900","5, 10, 20, 30 and 45","01/20/2004"
"Boceprevir","Capsule","II (Paddle) with sinker","50","50 mM phosphate buffer, pH 6.8 with 0.1% sodium dodecyl sulfate ","900","10, 20, 30, 45, 60 and 75 ","01/31/2013"
"Bosentan","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Bosentan","Tablet (For Suspension)","II (Paddle)","75","0.1 N HCl with 0.5% sodium dodecyl sulfate (SDS), pH 1.1","900","5, 10, 15, 20 and 30","11/16/2017"
"Bosutinib Monohydrate","Tablet ","II (Paddle)","50","0.1 N HCl","900","10, 15, 20, 30 and 45","06/25/2015"
"Brexpiprazole","Tablet","II (Paddle)","50","0.05 M Acetate buffer, pH 4.3","900","10, 15, 20, 30 and 45","10/20/2016"
"Brigatinib","Tablet","II (Paddle)","70","50 mM Potassium Phosphate Buffer, pH 7.2","900","5, 10, 15, 20, 30 and 45","11/02/2017"
"Brimonidine Tartrate/Brinzolamide","Ophthalmic Suspension","","","Develop a method to characterize in vitro release","","","01/15/2015"
"Brincidofovir","Tablet","I (Basket)","50","50 mM sodium phosphate buffer, pH 6.4 + 0.3% SDS","900","5, 10, 15, 20, 30, 45, 60, 75 and 90","07/07/2023"
"Brincidofovir","Suspension","II (Paddle)","50","0.05 M Sodium Phosphate Monobasic, Monohydrate Buffer, pH 6.4 + 0.05% Tween 80","900","5, 10, 15, 20, 30, 45, 60, 75 and 90","07/07/2023"
"Brinzolamide","Ophthalmic Suspension ","","","Develop a method to characterize in vitro release ","","","09/01/2011"
"Brivaracetam","Tablet ","II (Paddle ","50","Phosphate Buffer,  pH 6.4","2.5 and 5 mg tablets: 500 mL; 10, 25, 50, 75 and 100 mg tablets: 900 mL","5, 10, 15, 20 and 30","07/28/2016"
"Bromocriptine Mesylate","Tablet","","","Refer to USP","","","07/25/2007"
"Budesonide","Capsule","II (Paddle) with sinker","75","Acid stage: 0.1 N HCl; Buffer stage: Phosphate Buffer,  pH 7.5 ","Acid stage: 1000; Buffer stage: 1000","Acid stage: 2 hours; Buffer stage: 0.25, 0.5, 1, 2, 4, 6 and 8 hours","02/25/2015"
"Budesonide","Tablet (Extended Release)","II (Paddle)","100","Acid Stage: 0.1 M HCl containing 0.5% Macrogol Cetostearyl Ether; Buffer Stage: pH 7.2 phosphate buffer containing 0.5% Macrogol Cetostearyl Ether.","Acid Stage: 500 mL ; Buffer Stage: 1000 mL","Acid Stage: 2 hours; Buffer Stage: 1, 2, 4, 6, 8 and 10 hours","04/02/2015"
"Bumetanide","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Bupivacaine","Solution (Extended Release), Infiltration","II (Paddle)","50","0.025 M Sodium Phosphate Buffer with 0.03% Sodium Dodecyl Sulfate (SDS), pH 7.4","900","1, 2, 4, 8, 12, 16, 24, 36 and 48 hours","07/07/2022"
"Buprenorphine","Film, Transdermal (Extended Release) ","VI (Cylinder) with adapter, if needed","50","0.9% Sodium Chloride at 32°C","600","0.5,1, 2, 4, 6, 8,12, 16 and 24 hours ","05/09/2013"
"Buprenorphine HCl","Film (Buccal)","I (Basket)  100 mL round bottom vessel","100","0.05M NaH2PO4.H2O Phosphate Buffer, pH 4.5","60","10, 15, 20, 30, 45 and 60","10/20/2016"
"Buprenorphine HCl","Implant","II (Paddle) ","50","Water","900","1, 4, 12, 24, 36, 48, 72, 96, 120, 144 and 168 hours","07/28/2016"
"Buprenorphine HCl","Tablet (Sublingual)","","","Develop a dissolution method","","","09/15/2023"
"Buprenorphine HCl/Naloxone HCl","Film (Sublingual) ","V (Paddle over Disk) with 56 mm, 40 mesh stainless steel disk. ","100","Acetate Buffer, pH 4.0 (12.5mM Sodium acetate trihydrate and 60mM glacial acetic acid. Adjust the pH with glacial acetic acid or ammonium hydroxide).","900","1, 2, 3, 5, 7 and 10 ","10/31/2013"
"Buprenorphine HCl/Naloxone HCl","Tablet (Sublingual)","","","Develop a dissolution method","","","09/15/2023"
"Bupropion HCl","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Bupropion HCl","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Bupropion Hydrobromide","Tablet (Extended Release)","I (Basket)","75","0.1 N HCl","900","1, 2, 4, 6, 8 and 10 hours","06/10/2009"
"Buspirone Hydrochloride","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Buspirone Hydrochloride","Capsule","II (Paddle)","50","0.01 N HCl","500","10, 20, 30 and 45","11/01/2024"
"Busulfan","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Busulfan","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Cabergoline","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cabotegravir","Suspension (Extended Release)","II (Paddle)","20","0.5% w/v cetyltrimethylammonium bromide (CTAB) in 140 mM McIlvaine buffer, pH 7.4","1000","5, 10, 20, 30, 45 and 60","07/07/2023"
"Cabotegravir (CABO); Rilpivirine (RILP)","Suspension, Extended release","II (Paddle)","20 (CABO); 50 (RILP)","0.5% w/v solution of cetyltrimethylammonium bromide (CTAB) in 140 mM McIlvaine buffer, pH 7.4 (CABO); 6.0% w/v Polysorbate 20 in 0.05 M Sodium Phosphate buffer, pH 7.4 (RILP)","","5, 10, 15, 20, 30, 45 and 60 (CABO); 5, 30, 90 and 360 (RILP)","05/18/2023"
"Cabotegravir Sodium","Tablet","II (Paddle)","60","0.01N HCl with 0.2% cetyltrimethylammonium bromide (CTAB)","1000","5, 10, 15, 20, 25 and 30 ","07/07/2022"
"Cabozantinib S-Malate","Tablet ","II (Paddle ","75","0.01 N HCl with 0.375% Triton X-100 (degassed)","900","5, 10, 15, 20 and 30","07/28/2016"
"Cabozantinib S-Malate","Capsule ","II (Paddle) with sinker ","75","0.01 N HCl with 0.5% Triton X-100 (degassed)","900","5, 10, 15, 20 and 30","06/02/2016"
"Caffeine; Ergotamine Tartrate","Suppository","II (Paddle)","50","1% Tartaric Acid","900","10, 15, 30, 35, 40 and 45","02/05/2024"
"Calcifediol","Capsule (Extended Release) ","II (Paddle) with sinker ","75","0.5% SDS in 5 mM Sodium Dihydrogenphosphate Monohydrate, pH 6.8","500","1, 2, 4, 6, 8, 10 and 12 hours","10/20/2016"
"Calcitriol","Capsule","","","Develop a quantitative rupture test","","","06/03/2008"
"Calcium Acetate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Calcium Acetate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Calcium carbonate/Famotidine/ Magnesium hydroxide","Tablet, Chewable","III (Reciprocating Cylinder)","","0.1 M Sodium Acetate, pH 4.5","900","5,10, 15, 20, 30 and 45","03/30/2023"
"Canagliflozin","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Canagliflozin (Can)/ Metformin HCl (Met)","Tablet (Extended Release)  ","Met: I (Basket, 40 mesh): Can: I (Basket, 10 mesh [with option of tablet holder])","Met: 100: Can:100","Met:  Simulated Gastric Fluid [SGF] without enzyme, pH 1.2; Can: 0.1% (w/v) polysorbate 20 in 0.05 M sodium phosphate buffer pH 6.8 ( 50 mg); 0.2% (w/v) polysorbate 20 in 0.05 M sodium phosphate buffer pH 6.8 (150 mg)","Met: 900: Can: 900","Met: 1, 2, 4, 6, 8 10 and 12 hours: Can: 10, 15, 20, 30, 45 and 60 minutes;","12/22/2016"
"Canagliflozin/Metformin  HCl","Tablet","II (Paddle)","Canagliflozin: 75; Metformin: 50","Canagliflozin (50 mg): 0.025 % Polysorbate 20; Canagliflozin (150 mg):0.075 % Polysorbate 20; Metformin: Phosphate buffer, pH 6.8","Canagliflozin (50 mg): 900; Canagliflozin (150 mg): 900 ; Metformin: 1000","Canagliflozin: 10, 15, 20, 30 and 45; Metformin: 5, 10, 15, 20 and 30","05/28/2015"
"Candesartan Cilexetil (16 mg, 8 mg and 4 mg)","Tablet","II (Paddle)","50","0.35% Polysorbate 20 in 0.05 M Phosphate Buffer, pH 6.5","900","10, 20, 30, 45 and 60","06/20/2007"
"Candesartan Cilexetil (32 mg)","Tablet","II (Paddle)","50","0.70% Polysorbate 20 in 0.05 M Phosphate Buffer, pH 6.5","900","10, 20, 30, 45 and 60","06/20/2007"
"Candesartan Cilexetil/Hydrochlorothiazide (16/12.5 mg)","Tablet","II (Paddle)","50","0.35% Polysorbate 20 in phosphate buffer pH 6.5","900","10, 20, 30, 45 and 60","01/29/2010"
"Candesartan Cilexetil/Hydrochlorothiazide (32/12.5 mg and 32/25 mg)","Tablet","II (Paddle)","50","0.70% Polysorbate 20 in phosphate buffer pH 6.5","900","15, 20, 30, 45 and 60","01/29/2010"
"Capecitabine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Capivasertib","Tablet","II (Paddle)","60","Simulated Gastric Fluid without enzyme, pH 1.2","900","10, 15, 20, 30 and 45","02/24/2025"
"Capmatinib HCl","Tablet","I (Basket)","75","0.01N HCl (degassed)","900","5, 10, 15, 20, 30 and 45","05/12/2022"
"Captopril","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Carbamazepine","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Carbamazepine","Capsule (Extended Release) ","II (Paddle)","75 ","First 4 hours: Dilute Acid, pH 1.1. After 4 hours: Phosphate Buffer, pH 7.5 with  0.1% sodium lauryl sulfate (SLS). ","First 4 h: 900. After 4 h: 900 ","1, 2, 4, 6, 8, 10 and 12 hours ","09/01/2011"
"Carbamazepine","Tablet ","","","Develop a dissolution method ","","","01/03/2024"
"Carbamazepine","Tablet (Chewable)","","","Develop a dissolution method","","","09/15/2023"
"Carbamazepine","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Carbidopa","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Carbidopa/Entacapone/Levodopa","Tablet","I (Basket)","Carbidopa and Levodopa: 50; Entacapone: 125","For both Carbidopa and Levodopa: 0.1 N HCl, For Entacapone: Phosphate buffer pH 5.5","Carbidopa and Levodopa: 750 ml. Entacapone: 900 ml","10, 20, 30, 45 and 60","01/03/2007"
"Carbidopa/Levodopa","Tablet (Orally Disintegrating)","II (Paddle)","50","0.1 N HCl","750","5, 10, 15, 30, and 45","07/25/2007"
"Carbidopa/Levodopa","Capsule (Extended Release)","I (Basket) ","75","Acid stage: Simulated Gastric Fluid [SGF] without enzyme; Buffer stage: pH 7.0,  50 mM Phosphate Buffer","Acid stage: 500 mL [for 23.75/95 mg strength], 900 mL [other strengths]; Buffer stage:500 mL [for 23.75/95 mg strength], 900 mL [other strengths]","Acid stage: 30, 60 and 120; Buffer stage: 15, 30, 60, 90, 120, 180 and 240","04/07/2016"
"Carbidopa/Levodopa","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","04/22/2021"
"Carbidopa/Levodopa","Tablet (Extended Release)  ","II (Paddle)","50","0.1 N HCl","900","0.5, 0.75, 1, 1.5, 2, 2.5, 3 and 4 hours  ","08/15/2013"
"Carbidopa/Levodopa","Suspension (Enteral)","II (Paddle)","25","0.05 M Sodium Acetate Buffer, pH 4.5","500","5, 10, 15, 20, 30, 40 and 60","10/20/2016"
"Carbinoxamine Maleate","Suspension (Extended Release) ","II (Paddle) ","50","0.4 M Phosphate Buffer","900 [ 895 mL 0.4 M Buffer +5 mL  Suspension]","0.5, 1, 2, 3, 4, 6, 8 and 12 hours","06/02/2016"
"Carbinoxamine Maleate","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Carglumic Acid","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cariprazine HCl","Capsule","I (Basket) ","100","Sodium Acetate Buffer, pH 5.0 (degas)","500","5, 10, 15, 20, 30 and 45","06/30/2016"
"Carisoprodol","Tablet","","","Refer to USP ","","","01/29/2010"
"Carvedilol","Tablet","II (Paddle)","50","SGF without enzyme","900","10, 20, 30 and 45","01/21/2004"
"Carvedilol","Tablet","","","Refer to USP","","","12/24/2015"
"Carvedilol Phosphate","Capsule (Extended Release) ","II (Paddle)","100","0.1 N HCl","900","1, 2, 4, 6, 8, 12, 18 and 24 hours ","10/31/2013"
"Cedazuridine/Decitabine","Tablet","II (Paddle)","75","50 mM phosphate buffer, pH 6.8","900","5, 10, 15 and 30 ","07/07/2022"
"Cefaclor","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Cefaclor","Tablet (Chewable) ","","","Develop a dissolution method","","","01/03/2024"
"Cefaclor","Tablet (Extended Release) ","","","Refer to USP","","","03/03/2011"
"Cefadroxil","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Cefadroxil","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cefadroxil","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Cefdinir","Capsule","II (Paddle)","50","Phosphate Buffer, pH 6.8","900","5, 10, 15, 30 and 45","07/25/2007"
"Cefdinir","Suspension","II (Paddle)","50","0.05 M Phosphate buffer, pH 6.8","900","10, 20, 30 and 45","04/09/2007"
"Cefditoren Pivoxil","Tablet","II (Paddle)","75","Simulated Gastric Fluid without enzyme","900","5, 10, 15, 20 and 30","01/15/2010"
"Cefixime","Tablet (Chewable)","II (Paddle","25","Phosphate Buffer, pH 7.2","900","10, 15, 20, 30, and 45","12/23/2010"
"Cefixime","Suspension","II (Paddle)","50","0.05 M Phosphate buffer, pH 7.2","900","10, 20, 30 and 45","04/09/2007"
"Cefixime","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cefixime","Capsule","I (Basket) ","100","0.05 M Phosphate Buffer, pH 7.2","900","10, 20, 30, 45 and 60","08/15/2013"
"Cefpodoxime Proxetil","Suspension","II (Paddle)","50","Glycine Buffer (0.04 M) pH 3.0","900","10, 20, 30 and 45","12/20/2005"
"Cefpodoxime Proxetil","Tablet","","","Refer to USP","","","07/25/2007"
"Cefprozil","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Cefprozil","For Oral Suspension","","","Develop a dissolution method","","","09/15/2023"
"Cefprozil Monohydrate","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Ceftibuten Dihydrate","Suspension","II (Paddle)","50","0.05 M Phosphate Buffer, pH 7.0","1000","10, 20, 30 and 45","01/21/2004"
"Cefuroxime Axetil","Tablet","","","Refer to USP","","","07/25/2007"
"Celecoxib","Capsule","II (Paddle) ","50 mg, 100 mg and 200 mg: 50 rpm; 400 mg: 75 rpm","Tier 1 Medium: 0.04 M tribasic sodium phosphate (pH 12) with 1% SLS. Tier 2 Initial Medium: 750 mL of simulated gastric fluid, USP (includes pepsin); At 20 minutes, while stirring, add 180 mL of appropriate concentrations of SLS solution (for a final concentration of 1% SLS). Add about 70 mL of 1.2 N NaOH to adjust the pH to 12.","Tier 1: 1000 mL Tier 2: 750 mL (initial) 1000 mL (final)","10, 20, 30, 45 and 60","07/01/2010"
"Celecoxib; Tramadol HCl","Tablet","II (Paddle)","75","0.1N Hydrochloric Acid + 2% SLS","1000","5, 10, 15, 20, 30, 45 and 60","07/07/2023"
"Cenobamate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","08/05/2024"
"Cephalexin","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cephalexin","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Ceritinib","Capsule","II (Paddle)","60","0.01 N HCl (degassed)","900","5, 10, 15, 20 and 30","08/27/2015"
"Ceritinib","Tablet","I (Basket)","75","0.01 N HCl (degassed)","900","5, 10, 15, 20 and 30","04/22/2021"
"Cetirizine","Capsule (Soft-Gelatin)","II (Paddle)","50","25 mM pH 6.8 phosphate buffer","900","5, 10, 15, 20, 30 and 45","01/15/2015"
"Cetirizine HCl","Tablet (Orally Disintegrating) ","","","Refer to USP","","","03/17/2016"
"Cetirizine HCl","Tablet (Regular & Chewable)","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cetirizine HCl/Pseudoephedrine HCl","Tablet (Extended Release)","I (Basket)","100","0.1 N HCl","500","0.17, 0.25, 0.5, 1, 2, 6 and 8 hours","06/18/2007"
"Cevimeline HCL","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Chlorambucil","Tablet","II (Paddle)","75","0.1 N HCl","900","10, 20, 30, and 45 ","08/17/2006"
"Chlordiazepoxide HCl/ Clidinium Bromide","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Chlorhexidine Gluconate","Tablet (Dental)","","","Develop a method to characterize in vitro release ","","","07/07/2022"
"Chloroquine Phosphate","Tablet","","","Refer to FDA's  Dissolution Guidance, 2018","","","04/16/2020"
"Chlorothiazide","Suspension","","","Develop a dissolution method","","","03/07/2019"
"Chlorpheniramine Maleate","Tablet (Extended Release)","III (Reciprocating Cylinder)","27 dpm","Row 1: Test Fluid 1 (0.1N HCl) for 1st hour.  Row 2: Test fluid 2 (Phosphate Buffer, pH 7.5) for 5th hour","Row 1: 250 mL. Row 2: 250 mL","1 hour for test fluid 1, and 4 hours for test fluid 2","07/25/2007"
"Chlorpheniramine Maleate/Codeine Phosphate","Tablet (Extended Release)  ","II (Paddle)","50","Simulated gastric fluid (SGF) without enzyme (pH 1.2)","900","0.5, 1, 2, 4, 6, 8 and 12 hours","10/20/2016"
"Chlorpheniramine Maleate/Ibuprofen/Phenylephrine HCl","Tablet","II (Paddle)","50","50 mM Potassium Phosphate Buffer, pH 6.5 (degassed)","900","5, 10, 15, 20 and 30","06/25/2015"
"Chlorpheniramine Maleate/Ibuprofen/Pseudoephedrine HCl","Tablet","II (Paddle)","50","0.05 M Phosphate Buffer, pH 6.5","900","10, 20, 30 and 45","02/20/2004"
"Chlorpheniramine Polistirex/ Codeine polistirex","Suspension (Extended Release)","II (Paddle) ","50","Acid Stage: 0.1 N HCl; Buffer Stage: pH 6.8 Phosphate Buffer [500 mL 0.1 N HCl for 1 hour, followed by addition of 400 mL of 0.2M NaH2P04 to pH 6.8]","Acid Stage: 500 mL;  Buffer Stage: 900 mL","Acid Stage: 1 hour; Buffer Stage: 1, 2, 4, 6, 8 and 12 hours","03/17/2016"
"Chlorpheniramine Polistirex/Hydrocodone Polistirex","Extended Release Oral Suspension","II (Paddle) ","50","Simulated Gastric Fluid (SGF) at 37ºC ± 0.5ºC","495","1, 2, 3, 6, 8, 12, 16 and 24 hours","06/30/2011"
